Chamber_Pressure_bar,O/F,T_chamber_K,T_exit_Frozen_K,T_exit_Shift_K,M_exit_Frozen,M_exit_Shift,Velocity_exit_Frozen_m_s,Velocity_exit_Shift_m_s,Isp_Frozen_s,Isp_Equilibrium_s,X_H2O,X_H2,X_OH,X_O2,X_H
50,8.9,3612.2488282670247,1840.349097307457,2578.6672292719836,16.71457257244655,18.211410113981295,3204.3238259219356,3376.0951532232016,326.75009569240626,344.2658964297902,0.8594953873500005,0.030274009591700603,0.03925046617650258,0.05968253719642264,0.006124163631139186
50,9.0,3609.3041599002117,1838.686155935511,2573.048695103783,16.81332113376463,18.308668344372766,3193.5391114743256,3364.4194642716234,325.65036087494974,343.075307497629,0.8572349880726122,0.02839824791141476,0.039250533138268165,0.0640975162045383,0.005794825067944257
50,9.1,3606.20678605991,1836.906874142961,2567.200467583541,16.91087282558609,18.40422739111912,3182.876124058198,3352.866923951837,324.56303876024924,341.8972762311123,0.8548690947191269,0.026658924197809068,0.03917819652567015,0.06855655261178077,0.005479471816702382
50,9.2,3602.9672245504985,1835.019051200501,2561.1488041739503,17.007252130845725,18.49816229165871,3172.3342958754038,3341.438384006489,323.48807144900695,340.7318894838185,0.8524103381522511,0.025043567721117703,0.039040338786901864,0.07305140683555197,0.005178098637276507
50,9.3,3599.595325080174,1833.0300057837778,2554.916383234463,17.10248288358104,18.590540683955215,3161.912921805083,3330.134237686757,322.42538703890557,339.57918735620797,0.8498697915330153,0.02354111399885553,0.03884329350252478,0.07757470441129696,0.004890559491092746
50,9.4,3596.1003059412674,1830.9466018752787,2548.522853014344,17.19658828115395,18.68142378184868,3151.611172640816,3318.954487331669,321.3749009744221,338.4391700867951,0.8472571870230275,0.02214172426951023,0.03859287806782007,0.08211984340935383,0.0046166033161166185
50,9.5,3592.4907915607387,1828.7752733781854,2541.985296156214,17.2895908731808,18.770867204835962,3141.4281101001884,3307.898806515866,320.33651757737744,337.31180438945677,0.8445810993897098,0.020836629249822852,0.038294429857155865,0.0866809107690187,0.00435590217634906
50,9.6,3588.7748467333377,1826.522048564482,2535.3186145455466,17.381512577922877,18.858921701236085,3131.3626983027025,3296.966589790354,319.3101312173579,336.1970285255775,0.8418491037050597,0.0196179934809464,0.03795284253179973,0.09125260729734383,0.004108073103546872
50,9.7,3584.960011551033,1824.1925737676727,2528.535855042756,17.47237468508263,18.945633761987512,3121.4138163493203,3286.1569983723357,318.29562759447117,335.0947569631154,0.8390679089036451,0.018478798469765415,0.037572601968886815,0.09583018086798094,0.0038726951927905867
50,9.8,3581.0533322067267,1821.7921352319534,2521.648480616783,17.56219786888886,19.031046152570198,3111.5802682484123,3275.468997663916,317.29288475151174,334.0048842024459,0.8362434723105856,0.017412741593000214,0.03715782028243425,0.10040936714329264,0.0036493228064729947
50,9.9,3577.0613928125313,1819.3256813524129,2514.666599564405,17.65100220094849,19.115198367642005,3101.8607932775144,3264.9013902965157,316.30177413056595,332.9272881459536,0.8333810971330511,0.0164141489251711,0.03671226788687676,0.10498633712400426,0.003437495816908787
100,2.0,2075.767958408304,687.5724210721023,688.2757500743547,6.047267753625535,6.04800000040071,4024.303047040345,4025.613580785837,410.3647063003518,410.49834355114507,0.25201575100948315,0.7479842489905055,2.5771698569740566e-19,1.8628464706082568e-33,1.1467223649572345e-14
100,2.1,2145.5379778905194,720.5937118467933,721.6884977221258,6.248440281395957,6.249600000172151,4036.833099643954,4038.748674252305,411.64241607928847,411.8377503278189,0.2646165385444227,0.7353834614555097,2.7327477676190337e-18,1.13160721544315e-31,6.769018892418117e-14
100,2.2,2213.7145604526872,753.6718203903416,755.3160732156042,6.449428031640135,6.451200000060071,4047.5756061099955,4050.2835314190766,412.73784688043276,413.01397841455304,0.2772173260866566,0.7227826739129982,2.3927961617177757e-17,4.94486859133301e-30,3.451126073378367e-13
100,2.3,2280.296305297852,786.736311968493,789.1286351414731,6.650177552163613,6.65280000001123,4056.651436150306,4060.367999774425,413.6633239842664,414.0423080026742,0.28981811363290105,0.7101818863655545,1.7666553289083654e-16,1.6113750174996167e-28,1.5443050123178517e-12
100,2.4,2345.2748021104408,819.7161096721845,823.0997073920817,6.850627962233295,6.854399999982814,4064.165213677222,4069.1337707964117,414.42951606075695,414.9361678857114,0.3024189011806361,0.6975810988132124,1.1200723019180382e-15,4.040452362949732e-27,6.150374367806149e-12
100,2.5,2408.636457680633,852.5417041714303,857.2076752077669,7.05071168259245,7.0559999999239364,4070.208892999469,4076.696824439761,415.0457998398504,415.7073847276859,0.3150196887271759,0.6849803112507492,6.196172898452929e-15,8.012897520771311e-26,2.206869594140725e-11
100,2.6,2470.3644427305353,885.1470582326389,891.4369697560497,7.250355476127877,7.257599999738683,4074.8647548176195,4083.1594420615806,415.5205656179857,416.3663883244106,0.32762047626794943,0.6723795236599023,3.033232874927737e-14,1.2876868967406694e-24,7.211799564574725e-11
100,2.7,2530.440636163996,917.471106412668,925.7789331587827,7.449481734551163,7.459199999195863,4078.2078709848383,4088.611887828757,415.8614685937439,416.92238305932784,0.3402212637922558,0.6597787359909117,1.330526978816734e-13,1.7133199786283822e-23,2.1669944640002575e-10
100,2.8,2588.847449009145,949.4587974033586,960.2323872911302,7.648009925569474,7.660799997708971,4080.3080737059454,4093.1338321304697,416.0756296702692,417.3834930511918,0.35282205127256144,0.6471779481230732,5.288278811364997e-13,1.9239692993448358e-22,6.038366764774979e-10
100,2.9,2645.5694259404063,981.0616673448714,994.8039524670346,7.845858103422806,7.862399993920895,4081.231466951887,4096.795571714972,416.16978957665333,417.75688657339373,0.3654228386447236,0.6345771597810573,1.9235271375115974e-12,1.8549133723675757e-21,1.5722956239941712e-09
100,3.0,2700.5945468280056,1012.2321299093235,1029.4717618852533,8.042944384792298,8.063999985093936,4081.041549194231,4099.6594430009345,416.15042335499186,418.0489201716116,0.37802362578137594,0.6219763703639303,6.452520589056653e-12,1.5558943332444847e-20,3.8482411926043385e-09
100,3.1,2753.9151814497145,1042.873731769988,1064.1750343040203,8.23918830179656,8.265599963169967,4079.8008958017476,4101.78276324817,416.02391191709177,418.2654385797567,0.3906244122652465,0.6093755788231391,2.0075967272521844e-11,1.1465956502509944e-19,8.891538613717652e-09
100,3.2,2805.5286829352417,1072.9270382032398,1098.9035302271516,8.434511961910838,8.467199917225386,4077.5718791913714,4103.217602231044,415.796615479432,418.41175143714156,0.40322519757487585,0.5967747828733736,5.832317700262785e-11,7.509540402748323e-19,1.9493427167182875e-08
100,3.3,2855.4376355556406,1102.3509786185775,1133.6490820952454,8.628840967949,8.668799822746472,4074.415577545292,4104.010728571858,415.47476228327633,418.49262781600834,0.4158259804626345,0.5841739786430002,1.5915388429718183e-10,4.416324167722022e-18,4.073521141292451e-08
100,3.4,2903.6497966333377,1131.110164606476,1168.4045192028234,8.822105076006117,8.870399636857208,4070.3916004906396,4104.2042447637805,415.0644308189483,418.51236097584604,0.42842675872414254,0.5715731593989035,4.101267153253646e-10,2.3536614813052605e-17,8.146682716183449e-08
